image, method, kernel, grossDiff
case1,NOTHING,1,54321
case1,NOTHING,3,54321
case1,NOTHING,5,54321
case1,NOTHING,7,54321
case1,NOTHING,9,54321
case1,NOTHING,11,54321
case1,NOTHING,13,54321
case1,NOTHING,15,54321
case1,NOTHING,17,54321
case1,NOTHING,19,54321
case1,NOTHING,21,54321
case1,NOTHING,23,54321
case1,NOTHING,25,54321
case1,NOTHING,27,54321
case1,NOTHING,29,54321
case1,GAUSSIAN_BLUR,1,54321
case1,GAUSSIAN_BLUR,3,25404
case1,GAUSSIAN_BLUR,5,0
case1,GAUSSIAN_BLUR,7,21677
case1,GAUSSIAN_BLUR,9,20358
case1,GAUSSIAN_BLUR,11,24538
case1,GAUSSIAN_BLUR,13,32303
case1,GAUSSIAN_BLUR,15,0
case1,GAUSSIAN_BLUR,17,0
case1,GAUSSIAN_BLUR,19,0
case1,GAUSSIAN_BLUR,21,0
case1,GAUSSIAN_BLUR,23,0
case1,GAUSSIAN_BLUR,25,0
case1,GAUSSIAN_BLUR,27,0
case1,GAUSSIAN_BLUR,29,0
case1,MEDIAN_BLUR,1,54321
case1,MEDIAN_BLUR,3,24893
case1,MEDIAN_BLUR,5,30088
case1,MEDIAN_BLUR,7,20138
case1,MEDIAN_BLUR,9,22000
case1,MEDIAN_BLUR,11,15381
case1,MEDIAN_BLUR,13,27856
case1,MEDIAN_BLUR,15,22123
case1,MEDIAN_BLUR,17,17731
case1,MEDIAN_BLUR,19,23809
case1,MEDIAN_BLUR,21,22411
case1,MEDIAN_BLUR,23,0
case1,MEDIAN_BLUR,25,71363
case1,MEDIAN_BLUR,27,0
case1,MEDIAN_BLUR,29,0
case1,BOX_FILTER_BLUR,1,54321
case1,BOX_FILTER_BLUR,3,21433
case1,BOX_FILTER_BLUR,5,19625
case1,BOX_FILTER_BLUR,7,19465
case1,BOX_FILTER_BLUR,9,0
case1,BOX_FILTER_BLUR,11,0
case1,BOX_FILTER_BLUR,13,0
case1,BOX_FILTER_BLUR,15,0
case1,BOX_FILTER_BLUR,17,0
case1,BOX_FILTER_BLUR,19,0
case1,BOX_FILTER_BLUR,21,0
case1,BOX_FILTER_BLUR,23,0
case1,BOX_FILTER_BLUR,25,0
case1,BOX_FILTER_BLUR,27,0
case1,BOX_FILTER_BLUR,29,0
case1,CONTOUR_STRIP,1,54321
case1,CONTOUR_STRIP,3,25404
case1,CONTOUR_STRIP,5,0
case1,CONTOUR_STRIP,7,21677
case1,CONTOUR_STRIP,9,20358
case1,CONTOUR_STRIP,11,24538
case1,CONTOUR_STRIP,13,32303
case1,CONTOUR_STRIP,15,0
case1,CONTOUR_STRIP,17,0
case1,CONTOUR_STRIP,19,0
case1,CONTOUR_STRIP,21,0
case1,CONTOUR_STRIP,23,0
case1,CONTOUR_STRIP,25,0
case1,CONTOUR_STRIP,27,0
case1,CONTOUR_STRIP,29,0
case2,NOTHING,1,20518
case2,NOTHING,3,20518
case2,NOTHING,5,20518
case2,NOTHING,7,20518
case2,NOTHING,9,20518
case2,NOTHING,11,20518
case2,NOTHING,13,20518
case2,NOTHING,15,20518
case2,NOTHING,17,20518
case2,NOTHING,19,20518
case2,NOTHING,21,20518
case2,NOTHING,23,20518
case2,NOTHING,25,20518
case2,NOTHING,27,20518
case2,NOTHING,29,20518
case2,GAUSSIAN_BLUR,1,20518
case2,GAUSSIAN_BLUR,3,32937
case2,GAUSSIAN_BLUR,5,22437
case2,GAUSSIAN_BLUR,7,21255
case2,GAUSSIAN_BLUR,9,15610
case2,GAUSSIAN_BLUR,11,17722
case2,GAUSSIAN_BLUR,13,31559
case2,GAUSSIAN_BLUR,15,23618
case2,GAUSSIAN_BLUR,17,0
case2,GAUSSIAN_BLUR,19,0
case2,GAUSSIAN_BLUR,21,0
case2,GAUSSIAN_BLUR,23,0
case2,GAUSSIAN_BLUR,25,0
case2,GAUSSIAN_BLUR,27,0
case2,GAUSSIAN_BLUR,29,0
case2,MEDIAN_BLUR,1,20518
case2,MEDIAN_BLUR,3,16144
case2,MEDIAN_BLUR,5,10712
case2,MEDIAN_BLUR,7,19132
case2,MEDIAN_BLUR,9,11158
case2,MEDIAN_BLUR,11,9115
case2,MEDIAN_BLUR,13,14423
case2,MEDIAN_BLUR,15,18087
case2,MEDIAN_BLUR,17,19841
case2,MEDIAN_BLUR,19,8650
case2,MEDIAN_BLUR,21,29477
case2,MEDIAN_BLUR,23,25217
case2,MEDIAN_BLUR,25,13182
case2,MEDIAN_BLUR,27,17996
case2,MEDIAN_BLUR,29,0
case2,BOX_FILTER_BLUR,1,20518
case2,BOX_FILTER_BLUR,3,30036
case2,BOX_FILTER_BLUR,5,34348
case2,BOX_FILTER_BLUR,7,14631
case2,BOX_FILTER_BLUR,9,0
case2,BOX_FILTER_BLUR,11,0
case2,BOX_FILTER_BLUR,13,0
case2,BOX_FILTER_BLUR,15,0
case2,BOX_FILTER_BLUR,17,0
case2,BOX_FILTER_BLUR,19,0
case2,BOX_FILTER_BLUR,21,0
case2,BOX_FILTER_BLUR,23,0
case2,BOX_FILTER_BLUR,25,0
case2,BOX_FILTER_BLUR,27,0
case2,BOX_FILTER_BLUR,29,0
case2,CONTOUR_STRIP,1,20518
case2,CONTOUR_STRIP,3,32937
case2,CONTOUR_STRIP,5,22437
case2,CONTOUR_STRIP,7,21255
case2,CONTOUR_STRIP,9,15610
case2,CONTOUR_STRIP,11,17722
case2,CONTOUR_STRIP,13,31559
case2,CONTOUR_STRIP,15,23618
case2,CONTOUR_STRIP,17,0
case2,CONTOUR_STRIP,19,0
case2,CONTOUR_STRIP,21,0
case2,CONTOUR_STRIP,23,0
case2,CONTOUR_STRIP,25,0
case2,CONTOUR_STRIP,27,0
case2,CONTOUR_STRIP,29,0
case3,NOTHING,1,34686
case3,NOTHING,3,34686
case3,NOTHING,5,34686
case3,NOTHING,7,34686
case3,NOTHING,9,34686
case3,NOTHING,11,34686
case3,NOTHING,13,34686
case3,NOTHING,15,34686
case3,NOTHING,17,34686
case3,NOTHING,19,34686
case3,NOTHING,21,34686
case3,NOTHING,23,34686
case3,NOTHING,25,34686
case3,NOTHING,27,34686
case3,NOTHING,29,34686
case3,GAUSSIAN_BLUR,1,34686
case3,GAUSSIAN_BLUR,3,11176
case3,GAUSSIAN_BLUR,5,38069
case3,GAUSSIAN_BLUR,7,8504
case3,GAUSSIAN_BLUR,9,26542
case3,GAUSSIAN_BLUR,11,19801
case3,GAUSSIAN_BLUR,13,12337
case3,GAUSSIAN_BLUR,15,42793
case3,GAUSSIAN_BLUR,17,0
case3,GAUSSIAN_BLUR,19,0
case3,GAUSSIAN_BLUR,21,0
case3,GAUSSIAN_BLUR,23,0
case3,GAUSSIAN_BLUR,25,0
case3,GAUSSIAN_BLUR,27,0
case3,GAUSSIAN_BLUR,29,0
case3,MEDIAN_BLUR,1,34686
case3,MEDIAN_BLUR,3,40243
case3,MEDIAN_BLUR,5,10677
case3,MEDIAN_BLUR,7,12153
case3,MEDIAN_BLUR,9,21594
case3,MEDIAN_BLUR,11,21862
case3,MEDIAN_BLUR,13,11829
case3,MEDIAN_BLUR,15,50545
case3,MEDIAN_BLUR,17,34580
case3,MEDIAN_BLUR,19,42483
case3,MEDIAN_BLUR,21,17287
case3,MEDIAN_BLUR,23,12549
case3,MEDIAN_BLUR,25,15372
case3,MEDIAN_BLUR,27,23877
case3,MEDIAN_BLUR,29,0
case3,BOX_FILTER_BLUR,1,34686
case3,BOX_FILTER_BLUR,3,25402
case3,BOX_FILTER_BLUR,5,22763
case3,BOX_FILTER_BLUR,7,17753
case3,BOX_FILTER_BLUR,9,0
case3,BOX_FILTER_BLUR,11,0
case3,BOX_FILTER_BLUR,13,0
case3,BOX_FILTER_BLUR,15,0
case3,BOX_FILTER_BLUR,17,0
case3,BOX_FILTER_BLUR,19,0
case3,BOX_FILTER_BLUR,21,0
case3,BOX_FILTER_BLUR,23,0
case3,BOX_FILTER_BLUR,25,0
case3,BOX_FILTER_BLUR,27,0
case3,BOX_FILTER_BLUR,29,0
case3,CONTOUR_STRIP,1,34686
case3,CONTOUR_STRIP,3,11176
case3,CONTOUR_STRIP,5,38069
case3,CONTOUR_STRIP,7,8504
case3,CONTOUR_STRIP,9,26542
case3,CONTOUR_STRIP,11,19801
case3,CONTOUR_STRIP,13,12337
case3,CONTOUR_STRIP,15,42793
case3,CONTOUR_STRIP,17,0
case3,CONTOUR_STRIP,19,0
case3,CONTOUR_STRIP,21,0
case3,CONTOUR_STRIP,23,0
case3,CONTOUR_STRIP,25,0
case3,CONTOUR_STRIP,27,0
case3,CONTOUR_STRIP,29,0
