image, method, dilations, grossDiff
case1,CONTOUR_STRIP,0,22371
case1,CONTOUR_STRIP,1,26801
case1,CONTOUR_STRIP,2,23145
case1,CONTOUR_STRIP,3,23727
case1,CONTOUR_STRIP,4,37134
case1,CONTOUR_STRIP,5,38294
case2,CONTOUR_STRIP,0,23545
case2,CONTOUR_STRIP,1,20027
case2,CONTOUR_STRIP,2,19697
case2,CONTOUR_STRIP,3,8595
case2,CONTOUR_STRIP,4,15913
case3,CONTOUR_STRIP,0,23627
case3,CONTOUR_STRIP,1,17596
case3,CONTOUR_STRIP,2,10505
case3,CONTOUR_STRIP,3,16231
case3,CONTOUR_STRIP,4,19632
case3,CONTOUR_STRIP,5,11911